hnmr_046745,吉野家×はなまるうどん,十和田店,40.6226634,141.2131148,034-0012,青森県 十和田市 東一番町４－８,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
ysn_046806,吉野家,三沢松園町店,40.6771508,141.365149,033-0037,青森県 三沢市 松園町３丁目１－３２,500,100,500,100,500,100,500,100,500,100,500,100,500,100
hnmr_046747,吉野家×はなまるうどん,むつ中央店,41.289056347730515,141.1872614970241,035-0073,青森県 むつ市 中央２－２－３,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
ysn_046821,吉野家,盛岡バイパス上田店,39.7227391,141.1347294,020-0066,岩手県 盛岡市 上田４丁目１７－２７,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046819,吉野家,４６号線盛岡インター店,39.7104618,141.1056518,020-0148,岩手県 盛岡市 前潟２丁目１－２,500,200,500,200,500,200,500,200,500,200,500,200,500,200
ysn_046820,吉野家,盛岡南店,39.6583079,141.1609349,020-0839,岩手県 盛岡市 津志田南１丁目１－４０,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046964,吉野家,そば処吉野家 ４号線花巻中央店,39.390067,141.1245089,025-0081,岩手県 花巻市 里川口町２−２,400,200,400,200,400,200,400,200,400,200,400,200,400,200
ysn_046917,吉野家,４号線北上常盤台店,39.3110647,141.112518,024-0012,岩手県 北上市 常盤台４丁目１０－４４,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046818,吉野家,４号線一関店,38.930497,141.117569,021-0036,岩手県 一関市 山目十二神１９−１,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046929,吉野家,イオンタウン釜石店,39.2712574798303,141.8812312945122,026-0011,岩手県 釜石市 港町２１１ イオンタウン釜石２Ｆ,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
ysn_046817,吉野家,４号線水沢店,39.14694328046244,141.14985808465576,023-0003,岩手県 奥州市 水沢区 佐倉河前田８０－１,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046627,吉野家,仙台駅西口店,38.26222,140.8805,980-0021,宮城県 仙台市 青葉区 中央１丁目７−１,0,200,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046921,吉野家,仙台イービーンズ店,38.258733300493226,140.87973970552252,980-0021,宮城県 仙台市 青葉区 中央４丁目１－１,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
ysn_046828,吉野家,仙台北目町通店,38.25677,140.8808,980-0021,宮城県 仙台市 青葉区 中央４丁目９－１３,600,100,600,100,600,100,600,100,600,100,600,100,600,100
ysn_046829,吉野家,仙台広瀬通り店,38.26325,140.8769,980-0014,宮城県 仙台市 青葉区 本町２丁目１－８ 第一広瀬ビル１Ｆ,600,100,600,100,600,100,600,100,600,100,600,100,600,100
ysn_046825,吉野家,仙台藤松店,38.2964194,140.8741239,981-0921,宮城県 仙台市 青葉区 藤松２丁目１０,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046831,吉野家,広瀬通り一番町店,38.26325,140.8769,980-0803,宮城県 仙台市 青葉区 国分町２丁目１－１,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ysn_046613,吉野家,仙台定禅寺通り店,38.26613,140.8698,980-0803,宮城県 仙台市 青葉区 国分町３丁目１－４,0,0,0,0,0,0,0,0,0,0,0,0,0,0
