shopid,brand,name,lat,lng,zipcode,address,business_hour1,business_hour2,business_hour3
2121,なか卯,門真試験場前店,34.732807365322,135.593061387734,571-0038,大阪府門真市柳田町6-34,7:00～24:00　ラストオーダー 23:30,,
2122,なか卯,葛西店,35.6637527949704,139.871129897684,134-0083,東京都江戸川区中葛西5-19-17,24時間営業,,
2123,なか卯,松山衣山店,33.8513616693357,132.747850767602,791-8025,愛媛県松山市衣山1-1-17,24時間営業,,
2124,なか卯,摂津富田店,34.8363290814365,135.593696012635,569-0814,大阪府高槻市富田町1-6-5,24時間営業,,
2125,なか卯,美濃加茂山手店,35.4503168044332,137.012597402024,505-0036,岐阜県美濃加茂市山手町3-73,5:00～24:00　ラストオーダー 23:30,,
2126,なか卯,西川口店,35.8160247170492,139.704995016741,332-0034,埼玉県川口市並木3-1-1　第二福原ビル1Ｆ,24時間営業,,
2127,なか卯,横浜駒岡店,35.5254462111452,139.649161922713,230-0071,神奈川県横浜市鶴見区駒岡2-4-33,5:00～翌2:00　ラストオーダー 1:45,,
2128,なか卯,さくらんぼ東根駅前店,38.429492574897,140.382859490127,999-3716,山形県東根市さくらんぼ駅前1-7-25,24時間営業,,
2129,なか卯,帯広白樺店,42.9194821775768,143.173425708937,080-0051,北海道帯広市白樺16条西2-2-4,24時間営業,,
2130,なか卯,函館昭和店,41.8240737227543,140.736597691956,041-0812,北海道函館市昭和3-31-27,24時間営業,,
2133,なか卯,新大阪店,34.7278487538621,135.499066644462,532-0011,大阪府大阪市淀川区西中島3-23-9　中里第2ビル,24時間営業,,
2134,なか卯,河原町五条店,34.9962211118998,135.766676506476,600-8020,京都府京都市下京区河原町通五条上ル御影堂前町843　清水ビル１Ｆ,24時間営業,,
2135,なか卯,岸和田三田店,34.4546115533635,135.433324130448,596-0808,大阪府岸和田市三田町327-1,24時間営業,,
2136,なか卯,西院店,35.0033694131281,135.72909735379,615-0014,京都府京都市右京区西院巽町14番地　グランフォルム西院,24時間営業,,
2137,なか卯,安芸坂店,34.348690314683,132.519229631791,731-4311,広島県安芸郡坂町北新地2-2-24,24時間営業,,
2138,なか卯,茅場町店,35.6787409398554,139.777190897966,103-0025,東京都中央区日本橋茅場町3-1-11　旧大槻機材本社ビル1F,24時間営業,,
2139,なか卯,西葛西駅前店,35.6647063599948,139.858427853113,134-0088,東京都江戸川区西葛西6-7　メトロセンター西葛西Ｂ棟二号,24時間営業,,
2141,なか卯,山科三条通店,34.989605745815,135.816528226508,607-8080,京都府京都市山科区竹鼻竹ノ街道町34-5　ドエル竹鼻,24時間営業,,
2142,なか卯,堺福田店,34.5255677889346,135.525088242217,599-8241,大阪府堺市中区福田1054-1,24時間営業,,
2143,なか卯,二条城店,35.0096669069998,135.751406322183,604-8322,京都府京都市中京区姉小路通堀川西入ル樽屋町472-1　グレース吉田1Ｆ,24時間営業,,
2144,なか卯,大久保BP店,34.8710874615352,135.761507142229,611-0033,京都府宇治市大久保町且椋96-1,9:00～24:00　ラストオーダー 23:45,,
2145,なか卯,御器所店,35.1497936860935,136.933959437615,466-0027,愛知県名古屋市昭和区阿由知通3-23　ディーベス23　1Ｆ,24時間営業,,
2146,なか卯,東山公園店,35.160269628318,136.972537140278,464-0807,愛知県名古屋市千種区東山通5-113　オークラビル1Ｆ,5:00～翌2:00　ラストオーダー 1:45,,
2147,なか卯,西宮江上町店,34.7408193035459,135.339614567339,662-0855,兵庫県西宮市江上町8-12　エスポワール171,24時間営業,,
2149,なか卯,東銀座店,35.6719151337448,139.768757190462,104-0061,東京都中央区銀座2-11-8第22　中央ビル1Ｆ,24時間営業,土日 3:00～4:30クローズ,
2150,なか卯,姫路駅前店,34.8282650300809,134.692170977017,670-0927,兵庫県姫路市駅前町286,5:00～翌2:00　ラストオーダー 1:45,,
2151,なか卯,辻堂店,35.3367712171023,139.44831979034,251-0047,神奈川県藤沢市辻堂1-1-10,24時間営業,,
2152,なか卯,東京駅北口店,35.6836124731208,139.767578971909,100-0005,東京都千代田区丸の内1-7-7,24時間営業,,
2154,なか卯,仙台国分町店,38.2643365115208,140.869118933843,980-0803,宮城県仙台市青葉区国分町2-9-32　千鳥屋ビル1Ｆ,24時間営業,,
2155,なか卯,大津瀬田店,34.9909013041544,135.935939916486,520-2152,滋賀県大津市月輪1-91-1,24時間営業,,
2156,なか卯,札幌北２４条店,43.0904435935968,141.343465091066,001-0024,北海道札幌市北区北24条西4-2-5,24時間営業,,
2157,なか卯,宇都宮店,36.5598308181601,139.885851858004,320-0803,栃木県宇都宮市曲師町4-3　高嶋ビル,24時間営業,,
2158,なか卯,小伝馬町店,35.6902549875199,139.777273138729,103-0001,東京都中央区日本橋小伝馬町4-1　井門小伝馬町ビル,24時間営業,土のみ 5:00～翌2:00　ラストオーダー 1:45,
2159,なか卯,東海大学前店,35.3726795571071,139.271017583887,257-0003,神奈川県秦野市南矢名1-1-1　小田急マルシェ東海大学前内,24時間営業,,
2160,なか卯,札幌南郷通店,43.0312398258622,141.433144536077,003-0023,北海道札幌市白石区南郷通18丁目北1-3,24時間営業,,
2161,なか卯,東大宮店,35.9488624175073,139.639347129772,337-0051,埼玉県さいたま市見沼区東大宮4-8-1　クリスタルビル1F,24時間営業,,
2162,なか卯,堺筋博労町店,34.6780181041397,135.506593313919,541-0059,大阪府大阪市中央区博労町1-8-1　高島ビル1Ｆ,5:00～翌2:00　ラストオーダー 1:45　,,
2163,なか卯,札幌伏古店,43.0926222423341,141.390765506934,007-0868,北海道札幌市東区伏古8条2-1-1,24時間営業,,
2164,なか卯,阪急伊丹店,34.7799189129915,135.413556348353,664-0858,兵庫県伊丹市西台1-1-1,24時間営業,,
2165,なか卯,銀座七丁目店,35.6660970911305,139.765676880847,104-0061,東京都中央区銀座7-17-12　アソルティ東銀座1・2Ｆ,24時間営業,土日 2:00～3:30クローズ,
2166,なか卯,赤羽西口店,35.7791117002812,139.719720493528,115-0045,東京都北区赤羽1-67-8,24時間営業,,
2167,なか卯,札幌白石本通店,43.0427092187906,141.420914190335,003-0026,北海道札幌市白石区本通10丁目南3-5,24時間営業,,
2168,なか卯,赤坂溜池店,35.6702387298855,139.741732012071,107-0052,東京都港区赤坂2-10-9　ラウンドクロス赤坂1Ｆ,24時間営業,,
2169,なか卯,築地橋店,35.670369819057,139.773084124493,104-0045,東京都中央区築地2-1-17　陽光築地ビル1Ｆ,24時間営業,,
2171,なか卯,壱岐坂通り店,35.7041823494698,139.759237328611,113-0033,東京都文京区本郷2-15-10　第2大平ビル1Ｆ,24時間営業,,
2172,なか卯,新日本橋駅前店,35.6866348034991,139.776375324434,103-0023,東京都中央区日本橋本町1-5-11　ユニゾ日本橋本町一丁目ビル1Ｆ,24時間営業,,
2173,なか卯,小樽築港店,43.1884129193132,141.01422292316,047-0008,北海道小樽市築港8-4,24時間営業,,
2174,なか卯,稲毛海岸店,35.6299985386717,140.072775816558,261-0004,千葉県千葉市美浜区高洲1-21-1　三基ビル1Ｆ,24時間営業,,
2175,なか卯,本郷三丁目店,35.7076230979243,139.759544644653,113-0033,東京都文京区本郷4-2-8　フローラルビル1Ｆ,24時間営業,,
2176,なか卯,関内店,35.4419857739056,139.637851982853,231-0032,神奈川県横浜市中区不老町1-1-1　不老町守谷ビル1Ｆ,24時間営業,,
2177,なか卯,新琴似店,43.1196347712852,141.319292698847,001-0908,北海道札幌市北区新琴似8条11-1-11,24時間営業,,
2178,なか卯,札幌駅地下街店,43.0669353829996,141.349664269818,060-0005,北海道札幌市中央区北5条西4丁目　札幌駅南口広場地下街Ｗ-21,7:00～23:00　ラストオーダー 22:45,,
2179,なか卯,八王子店,35.6593148116257,139.339201222677,192-0081,東京都八王子市横山町3-10　日本地建ビル1Ｆ,24時間営業,,
2180,なか卯,人形町店,35.6852655771046,139.78047421374,103-0013,東京都中央区日本橋人形町1-2-5　ＥＲＶＩＣ人形町ビル1F,24時間営業,土のみ 5:00～翌2:00　ラストオーダー 1:45,
2181,なか卯,川沿店,42.980169982115,141.336100502652,005-0812,北海道札幌市南区川沿12条2-3-5,24時間営業,,
2182,なか卯,新札幌店,43.0406394745396,141.470589882341,004-0053,北海道札幌市厚別区厚別中央3条5-1-3,24時間営業,,
2183,なか卯,西尾店,34.8678777046273,137.043889122702,445-0891,愛知県西尾市下町神明下62-2,24時間営業,,
2184,なか卯,蕨店,35.8277198674112,139.689801851107,335-0004,埼玉県蕨市中央1-1-1,24時間営業,,
2185,なか卯,春日部店,35.9774852097325,139.751834247611,344-0067,埼玉県春日部市中央1-52-1　春日部セントラルビル1Ｆ,24時間営業,,
2186,なか卯,取手店,35.8995927321828,140.055380125096,302-0023,茨城県取手市白山6-1-17,24時間営業,,
2187,なか卯,南砂町店,35.6726728776305,139.835067759649,136-0076,東京都江東区南砂6-7-15,24時間営業,,
2188,なか卯,北本中丸店,36.0225334106155,139.543021459445,364-0013,埼玉県北本市中丸1-63,24時間営業,,
2190,なか卯,曲川店,34.5079871978159,135.765257717001,634-0837,奈良県橿原市曲川町6-7-15,24時間営業,,
2191,なか卯,旭川シーナ店,43.8056232392993,142.426604983362,079-8413,北海道旭川市永山3条15-1-7,24時間営業,,
2192,なか卯,烏丸高辻店,34.999190121113,135.759940262535,600-8415,京都府京都市下京区烏丸通松原上ル因幡堂町677番地,10:00～24:00　ラストオーダー 23:45,,
2193,なか卯,神谷町店,35.6646199656787,139.746269116217,105-0001,東京都港区虎ノ門3-7-10　ランディック虎ノ門ビル1Ｆ,24時間営業,,
