shopid,brand,name,lat,lng,zipcode,address,business_hour1,business_hour2,business_hour3
2291,なか卯,R22康生通店,35.192476213216,136.878823162352,451-0066,愛知県名古屋市西区児玉3-40-37,24時間営業,,
2292,なか卯,宮之阪店,34.8146602682722,135.656175432666,573-0022,大阪府枚方市宮之阪1-9-37　宮之阪ショッピングテラス,24時間営業,,
2293,なか卯,上本町店,34.6656071460272,135.518867866013,543-0001,大阪府大阪市天王寺区上本町6-3-31-104　うえほんまちハイハイタウン,8:00～22:00　ラストオーダー 21:45,,
2294,なか卯,豊中少路店,34.8032163419925,135.472639257689,560-0004,大阪府豊中市少路1-1-25,24時間営業,,
2295,なか卯,ＪＲ二条駅前店,35.0117298273228,135.740393808438,604-8416,京都府京都市中京区西ノ京星池町39-1,24時間営業,,
2296,なか卯,中野南口店,35.7032299780216,139.665348780934,164-0001,東京都中野区中野3-33-3　インツ中野ビル1Ｆ,24時間営業,,
2297,なか卯,木場店,35.6691663573813,139.806075328908,135-0042,東京都江東区木場5-2-2　川周ビル1Ｆ,24時間営業,,
2298,なか卯,布施店,34.6633192715055,135.562930423118,577-0841,大阪府東大阪市足代1-12-16,24時間営業,,
2300,なか卯,加古川店,34.7429584410997,134.84215994866,675-0016,兵庫県加古川市野口町長砂字三明1011-1,24時間営業,,
2301,なか卯,新堀川店,34.942824621534,135.751949354954,612-8373,京都府京都市伏見区毛利町90番,24時間営業,,
2302,なか卯,今池店,35.1696313477222,136.93746628847,464-0850,愛知県名古屋市千種区今池4-9-1,24時間営業,,
2304,なか卯,新小岩店,35.715763988877,139.86040200479,124-0024,東京都葛飾区新小岩1-50-8　アビタシオンTOKYO1F,24時間営業,,
2306,なか卯,茨木美沢店,34.7965984207726,135.567027001385,567-0862,大阪府茨木市美沢町16-32,24時間営業,,
2307,なか卯,河原町三条店,35.0086148304045,135.769203781454,604-8031,京都府京都市中京区河原町通三条下ル大黒町35番地,24時間営業,,
2309,なか卯,大須店,35.1596743601983,136.905834096204,460-0011,愛知県名古屋市中区大須3-30-27,5:00～翌2:00　ラストオーダー 1:45,,
2310,なか卯,R309松原店,34.5701009726304,135.550678510805,580-0021,大阪府松原市高見の里6-26-7,24時間営業,,
2311,なか卯,朝霞店,35.7919548342405,139.580215654561,351-0014,埼玉県朝霞市膝折町2-11-14,24時間営業,,
2312,なか卯,ベガロポリス仙台南店,38.2199645031652,140.848192714934,982-0034,宮城県仙台市太白区西多賀5-24-1,5:00～翌2:00　ラストオーダー 1:45,金土祝前日のみ 24時間営業,
2314,なか卯,三宮北口店,34.6950847087873,135.19407903764,651-0097,兵庫県神戸市中央区布引町4-2-3　片山ビル1F,24時間営業,,
2315,なか卯,蒲田駅西口店,35.562957752801,139.712678809298,144-0051,東京都大田区西蒲田7-43-2　ソアラプラザ1F,24時間営業,,
2316,なか卯,広島大手町店,34.3885782593041,132.454979797638,730-0051,広島県広島市中区大手町3-1-11平野ビル１F,24時間営業,,
2317,なか卯,上福岡店,35.8735476674186,139.510521018886,356-0006,埼玉県ふじみ野市霞ヶ丘1-2-3　ココネ上福岡一番館,24時間営業,,
2318,なか卯,JR福山駅店,34.4890766744682,133.361312677667,720-0066,広島県福山市三之丸町30-1　さんすて福山2番街第2-7号,24時間営業,,
2319,なか卯,イオン茅ヶ崎中央店,35.3359999475847,139.402722779312,253-0041,神奈川県茅ヶ崎市茅ヶ崎3-5-16　イオン茅ヶ崎中央店内,10:00～21:00　ラストオーダー 20:15,,
2320,なか卯,仙台駅東口店,38.2606666551263,140.886673478273,983-0852,宮城県仙台市宮城野区榴岡3-2-1,24時間営業,,
2324,なか卯,新開地店,34.6768073561844,135.170110203176,652-0802,兵庫県神戸市兵庫区水木通1-1-2　阿部ビル1Ｆ,24時間営業,,
2325,なか卯,広島幟町店,34.3934037931604,132.467383823072,730-0016,広島県広島市中区幟町15-9　藤本ビル1F,24時間営業,,
2326,なか卯,神田岩本町店,35.6946805826559,139.774833693094,101-0033,東京都千代田区神田岩本町4　神田北辰ビル1Ｆ,24時間営業,,
2327,なか卯,三田店,34.4546115533635,135.433324130448,108-0073,東京都港区三田3-9-7　ニキグラスビルディング1Ｆ,24時間営業,,
2328,なか卯,阪急石橋店,34.8071381819656,135.442965430375,563-0032,大阪府池田市石橋1-8-12　アゼリアタワービル1Ｆ,24時間営業,,
2329,なか卯,盛岡大通り店,39.7034557498688,141.145871349712,020-0022,岩手県盛岡市大通2-6-5　ポプラ大通ビル1Ｆ,24時間営業,,
2330,なか卯,東船橋店,35.6994549059215,140.003866952248,273-0002,千葉県船橋市東船橋1-37-9　大澤ビル1Ｆ,24時間営業,,
2332,なか卯,なんさん通店,34.6629613660287,135.505719913101,556-0005,大阪府大阪市浪速区日本橋3-6-28　浪花善哉1・2F,24時間営業,,
2333,なか卯,小滝橋通り店,35.6955985901114,139.698187793973,160-0023,東京都新宿区西新宿7-8-12　昇立ビル1F,24時間営業,,
2334,なか卯,豊洲店,35.653662843936,139.796244914756,135-0061,東京都江東区豊洲5-5-1　豊洲シエルタワー117,24時間営業,,
2335,なか卯,奈良新庄店,34.4884556731857,135.733302103582,639-2113,奈良県葛城市北花内630-1,24時間営業,,
2336,なか卯,新瑞橋店,35.1175060812629,136.936980951198,467-0806,愛知県名古屋市瑞穂区瑞穂通8-17-2　さくらHillsARATAMA1F,4:00～翌1:00　ラストオーダー 0:45,,
2337,なか卯,八戸ノ里店,34.6696340475316,135.588776319198,577-0032,大阪府東大阪市御厨中2-5-4,24時間営業,,
2338,なか卯,上川井店,35.4946370051582,139.505959678638,241-0802,神奈川県横浜市旭区上川井町37-1,24時間営業,,
2339,なか卯,守谷店,35.9592951461547,139.986667804712,302-0110,茨城県守谷市百合ヶ丘1-2024,24時間営業,,
2340,なか卯,甲府国母店,35.6437033022889,138.552892243783,400-0043,山梨県甲府市国母3-15-31,24時間営業,,
2341,なか卯,鯖江五郎丸店,35.9398928767438,136.191629983682,916-0046,福井県鯖江市横江町2-6-9,24時間営業,,
2342,なか卯,龍ヶ崎店,35.938269707534,140.198570618973,301-0855,茨城県龍ヶ崎市藤ヶ丘3-1-9,24時間営業,,
2343,なか卯,泉岳寺前店,35.6379157475274,139.738826241761,108-0074,東京都港区高輪2-16-35　高輪チトセハイツ1Ｆ,24時間営業,,
2345,なか卯,東池袋向原店,35.7298737080355,139.723989072943,170-0013,東京都豊島区東池袋2-6-2　ロイヤルアネックスビル101,24時間営業,,
2347,なか卯,ハイパーアロー松ヶ丘店,34.4748794277003,135.562961875325,586-0007,大阪府河内長野市松ヶ丘東町1277-1,9:00～24:00　ラストオーダー 23:45,,
2348,なか卯,戸越店,35.6149997593689,139.716858843562,142-0041,東京都品川区戸越3-1-17　ユニオンビルヂング1Ｆ,24時間営業,,
2349,なか卯,三郷駅南口店,35.844436506921,139.886027285016,341-0024,埼玉県三郷市三郷1-1-10　徳重ビル1Ｆ,24時間営業,,
2350,なか卯,立命館大学前店,35.0346729822645,135.727548263236,603-8355,京都府京都市北区平野上柳町10-18,10:00～24:00　ラストオーダー 23:45,,
2352,なか卯,ラウンドワン秋田卸町店,39.7016556158733,140.109403343663,010-0061,秋田県秋田市卸町1-1-2　ラウンドワン1F,24時間営業,,
2353,なか卯,上賀茂店,35.0573070705936,135.750343661206,603-8831,京都府京都市北区大宮北ノ岸町11　バイロンビル101,24時間営業,,
2354,なか卯,古河上辺見店,36.1936907572807,139.739476429465,306-0234,茨城県古河市上辺見341-6,24時間営業,,
2355,なか卯,袋井店,34.7501106448829,137.92231909268,437-0014,静岡県袋井市永楽町300-1,24時間営業,,
2356,なか卯,瑞江駅前店,35.6935853345176,139.897045538389,132-0011,東京都江戸川区瑞江2-6-16,24時間営業,,
2358,なか卯,新座道場店,35.7723880435103,139.564615351139,352-0024,埼玉県新座市道場1-10-25,24時間営業,,
2359,なか卯,各務原鵜沼店,35.4030703583958,136.89494323753,509-0146,岐阜県各務原市鵜沼三ツ池3-99-1,24時間営業,,
2362,なか卯,秋葉原昭和通り口店,35.6972445607604,139.779739000983,101-0025,東京都千代田区神田佐久間町4-1　ベラカーサ秋葉原102号室,24時間営業,,
2365,なか卯,新座大和田店,35.8075629189186,139.550236870014,352-0004,埼玉県新座市大和田2-5-30　東栄商事新座ビルB1F,24時間営業,,
2366,なか卯,調布北口店,35.6533078984669,139.542749872523,182-0026,東京都調布市小島町1-35-3　濱乃家ビル1Ｆ,24時間営業,,
2367,なか卯,河内小阪駅前店,34.6639539668529,135.581181100412,577-0801,大阪府東大阪市小阪1-8-41,24時間営業,,
2368,なか卯,羽島竹鼻店,35.3170616152903,136.710574176303,501-6232,岐阜県羽島市竹鼻町狐穴字壷柄山461-1,24時間営業,,
2369,なか卯,神栖店,35.9052744828186,140.635671670784,314-0146,茨城県神栖市平泉2758-5,24時間営業,,
2370,なか卯,堺もず店,34.5473665844792,135.494201470239,591-8033,大阪府堺市北区百舌鳥西之町3丁505-2,24時間営業,,
2371,なか卯,福井社店,36.0566553225702,136.187897972647,918-8055,福井県福井市若杉2-1535,24時間営業,,
2372,なか卯,茨城石岡店,36.1920703192004,140.292874156013,315-0001,茨城県石岡市石岡2929-1,5:00～翌2:00　ラストオーダー 1:45,,
2373,なか卯,榛原吉田町店,34.7628838396944,138.24704848048,421-0301,静岡県榛原郡吉田町住吉1164-2,24時間営業,,
2374,なか卯,小田急町田北口店,35.5449669407403,139.44470328173,194-0022,東京都町田市森野1-19-15,24時間営業,,
2375,なか卯,郡山大町店,37.3983465143211,140.384936243022,963-8001,福島県郡山市大町1-3-18　SE大町ビル,24時間営業,,
2376,なか卯,湖西店,34.7066154140063,137.547343348001,431-0301,静岡県湖西市新居町中之郷3896,10:00～23:00　ラストオーダー22:45,,
2377,なか卯,所沢東町店,35.7892993198022,139.470892356039,359-1116,埼玉県所沢市東町12-3,24時間営業,,
2378,なか卯,西船橋駅前店,35.7084384340059,139.958707789013,273-0031,千葉県船橋市西船4-22-3　栄華光ビル1.2F,24時間営業,,
2379,なか卯,外環状河内長野店,34.4434267686328,135.552088393317,586-0036,大阪府河内長野市高向828-1,24時間営業,,
2382,なか卯,新越谷店,35.8719766933977,139.779095730782,343-0851,埼玉県越谷市新越谷2-9-6,24時間営業,,
2383,なか卯,上尾柏座店,35.9687153790701,139.580605260734,362-0075,埼玉県上尾市柏座4-6-10,24時間営業,,
2384,なか卯,東近江八日市店,35.108037592576,136.202192966222,527-0025,滋賀県東近江市八日市東本町3-36,10:00～翌1:00　ラストオーダー 0:45,金土のみ 24時間営業,
2385,なか卯,池袋二丁目店,35.7359336476383,139.709931072517,171-0014,東京都豊島区池袋2-67-6　エリゼー池袋,24時間営業,,
2386,なか卯,富士吉田新西原店,35.4826928272981,138.780167727214,403-0017,山梨県富士吉田市新西原4-12-12,10:00～翌5:00　ラストオーダー4:45,,
2387,なか卯,津乙部店,34.723238140597,136.517108975941,514-0016,三重県津市大字乙部字神子2137,24時間営業,,
2389,なか卯,菰野湯の山街道店,35.0014212201136,136.536239299981,510-1231,三重県三重郡菰野町神森436-2,日～木 5:00～翌2:00　ラストオーダー 1:45,金土祝前日のみ 9:00～22:00　ラストオーダー 21:45,　
2390,なか卯,西条大町店,33.9087169051124,133.192075678549,793-0030,愛媛県西条市大町200-3,24時間営業,,
2391,なか卯,伏見桃山店,34.9328833864287,135.76348940988,612-8081,京都府京都市伏見区新町4-453-1　八甲ビル,24時間営業,,
2392,なか卯,アロー志紀店,34.6033548749763,135.611953835155,581-0031,大阪府八尾市志紀町1-123,5:00～翌2:00　ラストオーダー 1:45,,
2393,なか卯,長崎新田店,35.0090326604289,138.446409478266,424-0064,静岡県静岡市清水区長崎新田117-2,24時間営業,,
2394,なか卯,四日市羽津店,35.0116725330522,136.626470223234,510-0012,三重県四日市市大字羽津4670-1,24時間営業,,
2395,なか卯,岡崎若松東店,34.9140246588412,137.168000857085,444-0822,愛知県岡崎市若松東1-9-13,9:00～24:00　ラストオーダー 23:45,,
2396,なか卯,獨協大学前駅東口店,35.8437553900601,139.802013738073,340-0011,埼玉県草加市栄町2-9-15　ファーストビル1F,24時間営業,,
2397,なか卯,広島西十日市店,34.3979204263539,132.445416828324,730-0806,広島県広島市中区西十日市町9-13　第3NYビル,24時間営業,,
2398,なか卯,秋田土崎港店,39.7677528285175,140.068323433973,011-0951,秋田県秋田市土崎港相染町字沼端77-20,24時間営業,,
2399,なか卯,築地二丁目店,35.667800325746,139.77045501671,104-0045,東京都中央区築地2-14-1　ヒューリック築地ビル,24時間営業,,
2400,なか卯,渋谷宇田川町店,35.6624032031046,139.695398720809,150-0042,東京都渋谷区宇田川町37-13,24時間営業,,
2401,なか卯,2国明石大久保店,34.683129632206,134.941558337525,674-0051,兵庫県明石市大久保町大窪547-2,24時間営業,,
2402,なか卯,170号八尾大竹店,34.6387098218395,135.634574217462,581-0854,大阪府八尾市大竹1-19,10:00～24:00　ラストオーダー 23:45,,
2403,なか卯,長浜八幡東町店,35.3821865996277,136.281527365013,526-0031,滋賀県長浜市八幡東町248,24時間営業,,
2404,なか卯,秋葉原店,35.703010220233,139.773285938081,110-0005,東京都台東区上野3-2-1　エクセレントビル1Ｆ,24時間営業,,
2405,なか卯,平塚南金目店,35.3571831932786,139.272977023604,259-1201,神奈川県平塚市南金目376-1,4:30～翌2:00　ラストオーダー 1:45,,
2406,なか卯,川崎水沢店,35.5935065145842,139.54260680473,216-0012,神奈川県川崎市宮前区水沢3-4-15,24時間営業,,
2407,なか卯,東海名和店,35.0453450534208,136.913342626009,476-0002,愛知県東海市名和町細田42-4,24時間営業,,
2408,なか卯,船橋前原東店,35.6928945917702,140.02522353624,274-0824,千葉県船橋市前原東1-6-3,24時間営業,,
2409,なか卯,綾瀬大上店,35.4571290946967,139.427712070815,252-1104,神奈川県綾瀬市大上1-23-25,5:00～翌2:00　ラストオーダー 1:45,,
2410,なか卯,名古屋伏見店,35.1679083080268,136.89601786562,460-0008,愛知県名古屋市中区栄1-4-9　＠STEPビル,5:00～翌2:00　ラストオーダー 1:45,,
2411,なか卯,名駅南店,35.1667735282832,136.885775990673,450-0003,愛知県名古屋市中村区名駅南1-23-20　ダイワロイネットホテル名古屋駅前1F,24時間営業,,
2412,なか卯,1国岡崎矢作店,34.9620924128654,137.14292822598,444-0943,愛知県岡崎市矢作町字西林寺36-7,5:00～翌2:00　ラストオーダー 1:45,,
2413,なか卯,大正千島店,34.6485186927393,135.470970686253,551-0003,大阪府大阪市大正区千島3-19-8,24時間営業,,
2414,なか卯,天王台駅前店,35.872119017935,140.040268200759,270-1143,千葉県我孫子市天王台1-24-3　MAビル1F,24時間営業,,
2415,なか卯,瑞穂店,35.3884017314903,136.692897081611,501-0223,岐阜県瑞穂市穂積字中原1624-4,7:00～24:00　ラストオーダー 23:30,,
2416,なか卯,羽曳野恵我之荘店,34.576695145532,135.575511978101,583-0886,大阪府羽曳野市恵我之荘3-4-26,24時間営業,,
2417,なか卯,北野白梅町店,35.0280470874425,135.731162712604,603-8325,京都府京都市北区北野上白梅町8　ハイツくすの木1F,24時間営業,,
2418,なか卯,芝一丁目店,35.6521133903417,139.754427625658,105-0014,東京都港区芝1-5-11　芝Ｌ’ｓビル,24時間営業,,
2420,なか卯,相模原千代田店,35.5618733462353,139.374250020991,252-0237,神奈川県相模原市中央区千代田5-2-13,10:00～22:00　ラストオーダー 21:45,,
2422,なか卯,354号大泉店,36.2584349499821,139.389998583135,370-0535,群馬県邑楽郡大泉町大字寄木戸1455-2,24時間営業,,
2423,なか卯,富山東中野店,36.6790187186265,137.219538638015,939-8086,富山県富山市東中野町2-10-13,24時間営業,,
2424,なか卯,本牧店,35.424676458716,139.666480402326,231-0821,神奈川県横浜市中区本牧原19-1　パシフィックレジデンス本牧1F,24時間営業,,
2425,なか卯,豊田陣中店,35.0947744184115,137.163765108143,471-0079,愛知県豊田市陣中町2-12-9,24時間営業,,
2426,なか卯,岸和田店,34.463376058092,135.395028296194,596-0044,大阪府岸和田市西之内町67-7,24時間営業,,
2427,なか卯,松阪大黒田店,34.5663961915058,136.526491252147,515-0063,三重県松阪市大黒田町227-4,24時間営業,,
2428,なか卯,豊川南大通店,34.8151133089341,137.375590115975,442-0889,愛知県豊川市南大通4-3,24時間営業,,
2429,なか卯,福井大宮店,36.0831660904196,136.219265257999,910-0016,福井県福井市大宮2-26-32,24時間営業,,
2430,なか卯,福島東口店,37.7536729244181,140.462823412937,960-8031,福島県福島市栄町9-3,24時間営業,,
2431,なか卯,岡山中山下店,34.6637467535969,133.926543248348,700-0821,岡山県岡山市北区中山下1-8-1　ロイヤルコーポ1F　,9:00～22:00　ラストオーダー21:45,,
2432,なか卯,関稲口店,35.4724194050366,136.915160865176,501-3932,岐阜県関市稲口373,10:00～23:00　ラストオーダー 22:45,金土のみ 10:00～24:00　ラストオーダー 23:45,
2433,なか卯,23号鈴鹿南玉垣店,34.8597105951755,136.58686356544,513-0816,三重県鈴鹿市南玉垣町7198,5:00～翌2:00　ラストオーダー 1:45,,
2434,なか卯,ひばりが丘店,35.753739996076,139.546305785969,202-0002,東京都西東京市ひばりが丘北4-8-24　ひばりヶ丘シティーハイツ,24時間営業,,
2435,なか卯,米子皆生店,35.4510356753734,133.358347517726,683-0003,鳥取県米子市皆生5-7-25,24時間営業,,
2436,なか卯,1国藤枝大手店,34.8726918970583,138.267547277325,426-0017,静岡県藤枝市大手1-22-53,9:00～翌1:00　ラストオーダー 0:45,,
2437,なか卯,472号射水店,36.7301383680142,137.083122613349,939-0285,富山県射水市本開発726-1,5:00～翌2:00　ラストオーダー 1:45,,
2438,なか卯,座間ひばりが丘店,35.4899267205244,139.429015730101,252-0003,神奈川県座間市ひばりが丘5-23-1,24時間営業,,
2439,なか卯,岐阜加納城南通店,35.3993444221183,136.754915038312,500-8486,岐阜県岐阜市加納城南通2-15,24時間営業,,
2440,なか卯,岡山浜野店,34.6278327293208,133.937414554775,700-0845,岡山県岡山市南区浜野2-10-51,24時間営業,,
2441,なか卯,横須賀大矢部店,35.2404871468835,139.675287041151,238-0024,神奈川県横須賀市大矢部3-13-12,24時間営業,,
2442,なか卯,鳥取安長店,35.512595877177,134.208041616755,680-0913,鳥取県鳥取市安長397-2,24時間営業,,
2443,なか卯,船場中央大通店,34.681537311865,135.498688252823,541-0056,大阪府大阪市中央区久太郎町4-2-8　西岡ビル1F,24時間営業,土日のみ 5:00～翌2:00　ラストオーダー 1:45,
2444,なか卯,高松上福岡店,34.328260329676,134.064770550088,760-0077,香川県高松市上福岡町982,24時間営業,,
2445,なか卯,32号高知葛島店,33.5566581867694,133.574549292288,781-8121,高知県高知市葛島2-3-49,24時間営業,,
2446,なか卯,広島的場町店,34.3942152026069,132.473529386437,732-0824,広島県広島市南区的場町1-1-22,24時間営業,,
2447,なか卯,真岡上高間木店,36.4408775334629,139.987170309899,321-4337,栃木県真岡市上高間木2-16-13,24時間営業,,
2448,なか卯,23号四日市店,34.9902826786525,136.646950062891,510-0012,三重県四日市市大字羽津甲5168-17,24時間営業,,
2449,なか卯,北本店,36.0310476135761,139.533624903324,364-0031,埼玉県北本市中央2-90,24時間営業,,
2450,なか卯,高浜稗田町店,34.9197126575813,136.992843197411,444-1321,愛知県高浜市稗田町5-6-22,24時間営業,,
2451,なか卯,越谷下間久里店,35.925129838873,139.791671127766,343-0045,埼玉県越谷市下間久里383-1,24時間営業,,
2452,なか卯,伊勢佐木長者町店,35.4394487605085,139.634271841446,231-0033,神奈川県横浜市中区長者町3-7-1　YSビル,24時間営業,,
2453,なか卯,都賀駅前店,35.6356195602343,140.149777496142,264-0025,千葉県千葉市若葉区都賀3-4-2　丸惣ビル,24時間営業,,
2454,なか卯,福井駅前店,36.061527320487,136.2207927942,910-0006,福井県福井市中央1-9-1　ユニオンスクエアビル,9:00～24:00　ラストオーダー 23:45,,
2455,なか卯,23号伊勢御薗店,34.507154926709,136.711525557528,516-0804,三重県伊勢市御薗町長屋2095-1,24時間営業,,
2456,なか卯,枚方養父店,34.8457795224685,135.676814507891,573-1124,大阪府枚方市養父東町52-1,24時間営業,,
2457,なか卯,五香駅前店,35.7970535230951,139.965747846128,270-2261,千葉県松戸市常盤平5-19-1　五香駅西口ビル,24時間営業,,
2458,なか卯,烏丸北大路店,35.0434509236742,135.75886220289,603-8143,京都府京都市北区小山上総町14　大垣書店ビル1・2Ｆ,24時間営業,,
2460,なか卯,1国水口店,34.9803793185848,136.155403285866,528-0057,滋賀県甲賀市水口町北脇512-1,10:00～24:00　ラストオーダー 23:45,,
2461,なか卯,新潟小針台店,37.8888447583452,138.994226376587,950-2026,新潟県新潟市西区小針南台1-60,24時間営業,,
2462,なか卯,広小路本町店,35.1683347527501,136.901825696982,460-0008,愛知県名古屋市中区栄2-4-6　クレスト広小路,24時間営業,,
2463,なか卯,大井町西口店,35.6062370817202,139.732544055524,140-0014,東京都品川区大井1-23-2　シー・エス大井ビル,24時間営業,,
2464,なか卯,北習志野駅前店,35.7218720670875,140.042226067654,274-0063,千葉県船橋市習志野台2-1-6　北習志野駅前ビル,24時間営業,,
2465,なか卯,411号あきる野店,35.7390115401522,139.29007107756,197-0803,東京都あきる野市瀬戸岡785-5,24時間営業,,
2466,なか卯,南武庫之荘店,34.7445975336521,135.388646154668,661-0026,兵庫県尼崎市水堂町4-18-22,24時間営業,,
2467,なか卯,138号御殿場IC店,35.3033968035184,138.943567690772,412-0026,静岡県御殿場市東田中28-1,24時間営業,,
2468,なか卯,56号宇和島和霊店,33.2325430690829,132.56907022086,798-0012,愛媛県宇和島市和霊町1260-6,24時間営業,,
2469,なか卯,加賀小菅波店,36.3173199565591,136.347774914475,922-0424,石川県加賀市小菅波町2-7-1,24時間営業,,
2470,なか卯,鈴鹿道伯店,34.8595849010825,136.546357213021,513-0824,三重県鈴鹿市道伯町2101-1,24時間営業,,
2471,なか卯,26号堺浜寺南店,34.5353793623549,135.452609087532,592-8344,大阪府堺市西区浜寺南町3丁7-15,24時間営業,,
2472,なか卯,稲城大丸店,35.6485902633144,139.490221396641,206-0801,東京都稲城市大丸1012　エバグレース南多摩,24時間営業,,
2473,なか卯,北大路高野店,35.0405885842559,135.782333440982,606-8107,京都府京都市左京区高野東開町10　杉谷ビル1・2Ｆ,10:00～翌1:00　ラストオーダー 0:45,,
2474,なか卯,50号前橋朝日店,36.3835113129089,139.088931993748,371-0014,群馬県前橋市朝日町4-18-1,24時間営業,,
2475,なか卯,札幌本町店,43.0774029413942,141.385299717218,065-0041,北海道札幌市東区本町1条3-6-18,24時間営業,,
2476,なか卯,名東八前店,35.1785028928483,136.984832779553,465-0018,愛知県名古屋市名東区八前3-116,9:00～22:00　ラストオーダー21:45,,
2477,なか卯,神戸伊川谷店,34.674761674522,135.023142225152,651-2111,兵庫県神戸市西区池上4-23-1,24時間営業,,
2478,なか卯,東大阪吉田店,34.6797284622189,135.61708017044,578-0912,大阪府東大阪市角田1-4-33,5:30～翌2:00　ラストオーダー1:45,,
2479,なか卯,岡山下石井店,34.6594373596216,133.918946855432,700-0907,岡山県岡山市北区下石井2-2-8,24時間営業,,
2480,なか卯,アロー香里園店,34.7817887115792,135.620210488705,572-0028,大阪府寝屋川市日新町3-10,24時間営業,,
2482,なか卯,津島金柳店,35.1524023357276,136.777209002143,496-0014,愛知県津島市金柳町字神様田129,平日 5:00～翌2:00　ラストオーダー 1:45,土日 9:00～22:00　ラストオーダー 21:45,
2483,なか卯,新宿職安通り店,35.6979256309016,139.702050421588,160-0021,東京都新宿区歌舞伎町2-41-7　川井ビル,24時間営業,,
2484,なか卯,秋津店,35.7777673651501,139.495108653684,189-0001,東京都東村山市秋津町5-9-13,24時間営業,,
2485,なか卯,岡山今店,34.646632211858,133.895686321279,700-0975,岡山県岡山市北区今2-9-18,24時間営業,,
2487,なか卯,秦野今泉台店,35.3622725952963,139.222199339627,257-0018,神奈川県秦野市今泉台3-18-5,24時間営業,,
2488,なか卯,56号松山小栗店,33.8258523685695,132.758897969207,790-0036,愛媛県松山市小栗2-3-17,24時間営業,,
2489,なか卯,寝屋川寝屋店,34.7702037737437,135.648245638305,572-0012,大阪府寝屋川市池の瀬町4-7,24時間営業,,
2490,なか卯,高島平店,35.7897487496012,139.66363855017,175-0082,東京都板橋区高島平8-10-5　ソレイユ高島平第二,24時間営業,,
2491,なか卯,仙台北四番丁店,38.2709680232093,140.869048912077,980-0802,宮城県仙台市青葉区二日町12-25　グランディプレステージビル1Ｆ,24時間営業,,
2492,なか卯,359号金沢柳橋店,36.6017775872762,136.681785187987,920-3133,石川県金沢市柳橋町ハ-15,24時間営業,,
2493,なか卯,163号守口店,34.7179535338465,135.56900212536,570-0043,大阪府守口市南寺方東通1-11-17,24時間営業,,
2494,なか卯,岸和田駅前店,34.460876860494,135.377953718191,596-0054,大阪府岸和田市宮本町2-1,24時間営業,,
2495,なか卯,安城大山店,34.9502013316216,137.087726135787,446-0042,愛知県安城市大山町1-6-8,5:00～翌2:00　ラストオーダー 1:45,,
2496,なか卯,250号明石魚住店,34.688312116101,134.908760267183,674-0082,兵庫県明石市魚住町中尾370-3,24時間営業,,
2497,なか卯,429号倉敷中島店,34.5762928790126,133.725797835927,710-0803,岡山県倉敷市中島1344-1,24時間営業,,
2498,なか卯,港区入場店,35.1136203671268,136.856400044516,455-0803,愛知県名古屋市港区入場1-122,24時間営業,,
2499,なか卯,黒部田家店,36.8563005537357,137.440112989597,938-0045,富山県黒部市田家新588-1,10:00～翌1:00　ラストオーダー 0:45,,
2501,なか卯,八戸八日町店,40.5103488174837,141.491664366003,031-0086,青森県八戸市八日町1-1　ダイワロイネットホテル八戸1Ｆ,24時間営業,,
2503,なか卯,41号飛騨高山店,36.1328803949022,137.247201488534,506-0031,岐阜県高山市西之一色町3-1100-17,9:00～22:00　ラストオーダー21:45,金土祝前日のみ 24時間営業,
2504,なか卯,ラウンドワン武蔵村山店,35.7355632476166,139.382610217718,208-0023,東京都武蔵村山市伊奈平3-1-1　ラウンドワン武蔵村山店,24時間営業,,
2506,なか卯,座間相武台店,35.4979715704506,139.406075598152,252-0011,神奈川県座間市相武台1-4500-3,24時間営業,,
2507,なか卯,岐阜柳津店,35.3681723935014,136.750047711243,501-6103,岐阜県岐阜市柳津町蓮池4-38,24時間営業,,
2508,なか卯,1国八幡美濃山店,34.8571316856834,135.711145578441,614-8271,京都府八幡市美濃山ヒル塚32-1,24時間営業,,
2509,なか卯,松山束本店,33.8344447161089,132.786881916182,790-0916,愛媛県松山市束本1-7-26,24時間営業,,
2510,なか卯,貝塚麻生中店,34.4347867818615,135.372717298878,597-0081,大阪府貝塚市麻生中1014-1,24時間営業,,
2511,なか卯,行田佐間店,36.1290892499569,139.464332254628,361-0032,埼玉県行田市佐間2-15-1,24時間営業,,
2512,なか卯,仙台青葉通一番町店,38.2592409849657,140.871382313837,980-0811,宮城県仙台市青葉区一番町2-5-22GC　青葉通りプラザ1Ｆ,24時間営業,,
2513,なか卯,神田須田町店,35.6952254408563,139.770052120666,101-0041,東京都千代田区神田須田町1-28　アクア神田ビル,平日 24時間営業,土日 4:30～翌3:00　ラストオーダー 2:45,
2515,なか卯,一宮公園通店,35.2936815759292,136.803694463767,491-0842,愛知県一宮市公園通6-2,10:00～22:00　ラストオーダー 21:45,,
2516,なか卯,高岡野村店,36.7479336341918,137.032400173054,933-0014,富山県高岡市野村355-1,24時間営業,,
2517,なか卯,藤沢駅北口店,35.3389802367054,139.485232734147,251-0052,神奈川県藤沢市藤沢438-6FIC　藤沢ビル1F,24時間営業,土日のみ 5:00～翌2:00　ラストオーダー 1:45,
2518,なか卯,247号半田有楽町店,34.8722811540341,136.918471557975,475-0837,愛知県半田市有楽町7-97-2,9:00～24:00　ラストオーダー 23:45,,
