storeid,brand,name,lat,lon,postalCode,address,business_hour1,business_hour2,business_hour3
70,すき家,戸塚南店,35.3675335332834,139.498946669319,245-0065,神奈川県横浜市戸塚区東俣野町1029-1,24時間営業,,
72,すき家,西船橋店,35.7036556962034,139.963514832244,273-0026,千葉県船橋市山野町10-1,24時間営業,,
73,すき家,千葉白井店,35.7961089066642,140.061436331672,270-1422,千葉県白井市復字中山1450,24時間営業,,
74,すき家,瀬戸店,35.2107050646604,137.067816904992,489-0931,愛知県瀬戸市高根町1-68,24時間営業,,
76,すき家,宇都宮北店,36.5935326332036,139.925788656097,321-0982,栃木県宇都宮市御幸ヶ原町68-32　林ハイツ1F,24時間営業,,
78,すき家,4号さくら店,36.6761749568742,139.960573072983,329-1323,栃木県さくら市卯の里五丁目59-1,24時間営業,,
79,すき家,静岡IC店,34.9514697119382,138.386302676223,422-8051,静岡県静岡市駿河区中野新田字橋下57-93,月～金 10:00～23:00　,土日 9:00～23:00　祝 10:00～23:00,
80,すき家,相模原共和店,35.5613943882266,139.399165473839,229-0039,神奈川県相模原市中央区共和3-6-17,24時間営業,,
81,すき家,笠寺店,35.1025691399942,136.925210394307,457-0071,愛知県名古屋市南区千竃通4-20-1,24時間営業,,
82,すき家,五領町店,36.0317283171019,139.41904272126,355-0031,埼玉県東松山市五領町15-15,24時間営業,,
83,すき家,相模原上鶴間店（旧相模原東店）,35.5238853862005,139.449251930261,252-0302,神奈川県相模原市南区上鶴間2-7-2,24時間営業,,
84,すき家,東松山店,36.0254254172853,139.405265822313,355-0073,埼玉県東松山市上野本1164-1,24時間営業,,
86,すき家,戸祭店,36.5743588378487,139.877344117818,320-0053,栃木県宇都宮市戸祭町3001-1,24時間営業,,
87,すき家,黒川北店,35.2029773352341,136.911945483587,462-0841,愛知県名古屋市北区黒川本通り5-19-1,24時間営業,,
88,すき家,宇都宮東店,36.5553692204691,139.910188375653,321-0945,栃木県宇都宮市宿郷3-21-30,24時間営業,,
89,すき家,高津野川店,35.5722471301014,139.622593640822,213-0022,神奈川県川崎市高津区千年50,24時間営業,,
91,すき家,一宮妙興寺店,35.2874059646875,136.793883345321,491-0915,愛知県一宮市宮地2-13-4,24時間営業,,
92,すき家,市原白金店（旧 白金店）,35.5279683330324,140.104137910124,290-0059,千葉県市原市白金町1-58-2,24時間営業,,
94,すき家,つくば天久保店,36.1061949059862,140.109124481651,305-0005,茨城県つくば市天久保4-6-5,24時間営業,,
95,すき家,幕張店,35.6542681628188,140.056748252318,262-0032,千葉県千葉市花見川区幕張町5-417-207,24時間営業,,
96,すき家,下館店,36.2922169942332,139.920630181331,308-0846,茨城県筑西市布川1310-13,24時間営業,,
97,すき家,神栖店,35.8921729411004,140.658014307421,314-0127,茨城県神栖市大字木崎字新扇2841-1,24時間営業,,
99,すき家,129号厚木山際店（旧厚木北店）,35.4966979018913,139.363181996853,243-0803,神奈川県厚木市山際281-1,24時間営業,,
100,すき家,桶川店,36.0045638212419,139.567812450239,363-0012,埼玉県桶川市末広2-2-8　平澤ビル1F,24時間営業,,
101,すき家,高崎東店,36.3196323547829,139.027764181765,370-0851,群馬県高崎市上中居町190-1,24時間営業,,
102,すき家,館山店,34.9913412585199,139.879894576594,294-0043,千葉県館山市安布里字青木田190-2,24時間営業,,
103,すき家,大原店,35.247035950016,140.394295637699,298-0004,千葉県いすみ市大原9539-1,24時間営業,,
104,すき家,刈谷店,35.0141919457192,137.021743669011,448-0003,愛知県刈谷市一ツ木町4-1-8,24時間営業,,
105,すき家,255号小田原成田店（旧小田原東店）,35.2942633614111,139.167660889489,250-0862,神奈川県小田原市成田408-1,24時間営業,,
106,すき家,岩井店,36.0478509747109,139.892554876331,306-0631,茨城県坂東市大字岩井字新畑4298-1,24時間営業,,
108,すき家,125号下妻店（旧下妻店）,36.1797043201394,139.969122723801,304-0062,茨城県下妻市下妻戊106-1,24時間営業,,
