storeid,brand,name,lat,lon,postalCode,address,business_hour
0000000220,松屋,神立店,34.714759,137.758324,4300801,静岡県浜松市東区神立町118-2,24時間営業
0000000223,松屋,下高井戸店,35.662553,139.642523,1560044,東京都世田谷区赤堤4-48-10雪華堂ビル1F,24時間営業
0000000224,松屋,上野店,35.706805,139.777116,1100005,東京都台東区上野4-9-5 石井ビル1F.2F,24時間営業
0000000226,松屋,千歳烏山店,35.66547,139.604377,1570062,東京都世田谷区南烏山4-12-4 スギウラビル1F,24時間営業
0000000227,松屋,本八幡南口店,35.716521,139.929483,2720023,千葉県市川市南八幡4-6-7,24時間営業
0000000228,松屋,大久保店,35.698395,139.699307,1690073,東京都新宿区百人町1-18-11 百人町秋山ビル1F,24時間営業
0000000229,松屋,中野坂上店,35.694048,139.685616,1640011,東京都中野区中央2-1-2 中野坂上吉田ビル1F,24時間営業
0000000230,松屋,あびこ店,34.596497,135.515973,5580011,大阪府大阪市住吉区苅田5-19-17 メトロアビコ1F,24時間営業
0000000231,松屋,京成大久保店,35.683714,140.051562,2750011,千葉県習志野市大久保1-21-12 ニューTKビル1F,24時間営業
0000000233,松屋,大岡山店,35.605844,139.688858,1450062,東京都大田区北千束1-40-1 石井ビル1F,24時間営業
0000000234,松屋,狭山店,35.878163,139.438707,3501332,埼玉県狭山市下奥富1366-2,24時間営業
0000000235,松屋,深大寺店,35.677993,139.557458,1820011,東京都調布市深大寺北町4-30-3,24時間営業
0000000237,松屋,川崎枡形店,35.617404,139.555737,2140032,神奈川県川崎市多摩区枡形1-5-9,24時間営業
0000000238,松屋,小滝橋通り店,35.693959,139.700843,1600023,東京都新宿区西新宿7-7-28 第一山本ビル1F,5時から翌3時
0000000239,松屋,赤坂見附店,35.673193,139.739304,1070052,東京都港区赤坂3-21-8 千古満ビル1F,24時間営業
0000000240,松屋,新栄店,35.166811,136.923157,4600006,愛知県名古屋市中区葵1-20-19 芝電ビル1F,24時間営業
0000000242,松屋,吉祥寺サンロード店,35.70092,139.583338,1800004,東京都武蔵野市吉祥寺本町1-15-4,24時間営業
0000000243,松屋,祐天寺店,35.634376,139.695023,1530052,東京都目黒区祐天寺2-2-7 青埜ビル1F,24時間営業
0000000244,松屋,東五反田店,35.622247,139.730098,1410022,東京都品川区東五反田2-4-1 東五反田レンガビル1F,24時間営業
0000000245,松屋,蒲田東口店,35.559087,139.723132,1440052,東京都大田区蒲田5-25-2 コーポ橋本1F,24時間営業
0000000246,松屋,山科店,34.988438,135.820384,6078013,京都府京都市山科区安朱中小路町3-2,24時間営業
0000000247,松屋,今池店,35.163856,136.93985,4640850,愛知県名古屋市千種区今池5-23-14 コザキ今池ビル1F,24時間営業
0000000248,松屋,代々木八幡店,35.66569,139.692252,1510063,東京都渋谷区富ヶ谷1-52-2 ニューアメリカンビル1F,24時間営業
0000000250,松屋,中野南口店,35.700573,139.668904,1640001,東京都中野区中野2-29-8 NTビル1F,24時間営業
0000000251,松屋,町屋店,35.740221,139.784371,1160001,東京都荒川区町屋1-2-10,24時間営業
0000000252,松屋,王子店,35.752095,139.74017,1140002,東京都北区王子1-13-16 エイムビル1F,24時間営業
0000000254,松屋,横浜西口店,35.464395,139.625436,2200004,神奈川県横浜市西区北幸1-1-2 INB横浜西口ビル1F,24時間営業
0000000255,松屋,東武練馬店,35.765777,139.664167,1750083,東京都板橋区徳丸3-1-26 大川ビル1F,24時間営業
0000000256,松屋,戸越銀座店,35.612207,139.718476,1420051,東京都品川区平塚1-8-2 山こしビル1F,24時間営業
0000000257,松屋,行徳店,35.679839,139.917393,2720133,千葉県市川市行徳駅前2-3 ポニー内1F,24時間営業
0000000258,松屋,堀川丸太町店,35.013977,135.755073,6040077,京都府京都市中京区丸太町堀川東入丸太町15 タスキービル,24時間営業
0000000259,松屋,伊丹店,34.766048,135.422879,6640854,兵庫県伊丹市南町3-1-3,24時間営業
